1;VINNYTSKYI
2;KHMILNYTSKYI
3;HAISYNSKYI
4;TULCHYNSKYI
5;ZHMERYNSKYI
6;MOHYLIV-PODILSKYI
7;LUTSKYI
8;KOVELSKYI
9;KAMIN-KASHYRSKYI
10;VOLODYMYRSKYI
11;DNIPROVSKYI
12;KRYVORIZKYI
13;KAMIANSKYI
14;PAVLOHRADSKYI
15;SYNELNYKIVSKYI
16;SAMARIVSKYI
17;NIKOPOLSKYI
18;KRAMATORSKYI
19;BAKHMUTSKYI
20;POKROVSKYI
21;VOLNOVASKYI
22;DONETSKYI
23;MARIUPOLSKYI
24;ZHYTOMYRSKYI
25;KOROSTENSKYI
26;ZVIAHELSKYI
27;BERDYCHIVSKYI
28;UZHHORODSKYI
29;MUKACHIVSKYI
30;KHUSTSKYI
31;BEREHIVSKYI
32;TIACHIVSKYI
33;RAKHIVSKYI
34;ZAPORIZKYI
35;POLOHIVSKYI
36;BERDIANSKYI
37;VASYLIVSKYI
38;MELITOPOLSKYI
39;IVANO-FRANKIVSKYI
40;KALUSKYI
41;KOLOMYISKYI
42;NADVIRNIANSKYI
43;KOSIVSKYI
44;VERKHOVYNSKYI
45;Kyiv
46;BROVARSKYI
47;BORYSPILSKYI
48;VYSHHORODSKYI
49;BUCHANSKYI
50;FASTIVSKYI
51;OBUKHIVSKYI
52;BILOTSERKIVSKYI
53;KROPYVNYTSKYI
54;NOVOUKRAINSKYI
55;HOLOVANIVSKYI
56;OLEKSANDRIISKYI
57;SVATIVSKYI
58;STAROBILSKYI
59;SIVERSKODONETSKYI
60;SHCHASTYNSKYI
61;LVIVSKYI
62;SHEPTYTSKYI
63;ZOLOCHIVSKYI
64;YAVORIVSKYI
65;SAMBIRSKYI
66;STRYISKYI
67;DROHOBYTSKYI
68;VOZNESENSKYI
69;PERVOMAISKYI
70;BASHTANSKYI
71;MYKOLAIVSKYI
72;ODESKYI
73;PODILSKYI
74;ROZDILNIANSKYI
75;BEREZIVSKYI
76;BILHOROD-DNISTROVSKYI
77;IZMAILSKYI
78;BOLHRADSKYI
79;KREMENCHUTSKYI
80;LUBENSKYI
81;MYRHORODSKYI
82;POLTAVSKYI
83;VARASKYI
84;SARNENSKYI
85;RIVNENSKYI
86;DUBENSKYI
87;SUMSKYI
88;SHOSTKYNSKYI
89;KONOTOPSKYI
90;ROMENSKYI
91;OKHTYRSKYI
92;TERNOPILSKYI
93;KREMENETSKYI
94;CHORTKIVSKYI
95;KHARKIVSKYI
96;BOHODUKHIVSKYI
97;CHUHUIVSKYI
98;KUPIANSKYI
99;BERESTYNSKYI
100;IZIUMSKYI
101;LOZIVSKYI
102;KHERSONSKYI
103;BERYSLAVSKYI
104;KAKHOVSKYI
105;HENICHESKYI
106;SKADOVSKYI
107;KHMELNYTSKYI
108;SHEPETIVSKYI
109;KAMIANETS-PODILSKYI
110;CHERKASKYI
111;UMANSKYI
112;ZVENYHORODSKYI
113;ZOLOTONISKYI
114;CHERNIVETSKYI
115;VYZHNYTSKYI
116;DNISTROVSKYI
117;CHERNIHIVSKYI
118;KORIUKIVSKYI
119;NOVHOROD-SIVERSKYI
120;NIZHYNSKYI
121;PRYLUTSKYI